"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"815595951964336132","","","2017-01-01 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mussorgsky - Night on Bald Mountain, transcripted by Chernov, by Boris Berezovsky https://t.co/PeAdNoWNjM 재업","","","","https://youtu.be/U9gBBOqHOck"
"815354354899288064","","","2017-01-01 00:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mozart - Symphony No.25 in G minor, K.183 by Academy of St Martin in the Fields and Neville Marriner https://t.co/0cGUBr47I5 재업","","","","https://youtu.be/-sU4u0YX1No?t=12s"
"814962367431778304","814962290441097216","3328596200","2016-12-30 22:32:24 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Daniel Barenboim, András Schiff, Georg Solti and English Chamber Orchestra","","","",""
"814962290441097216","648651659082502144","3328596200","2016-12-30 22:32:05 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mozart - Piano Concerto No.7 for 3 pianos in F major, K.242 by (cont) https://t.co/1r7bXQV0DX","","","","https://youtu.be/3ztEjqpSaJA?t=25s"
"814871173959995393","635860529169305600","3328596200","2016-12-30 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Schubert - Piano Sonata No.18 in G major, Op.78, D.894 by Radu Lupu https://t.co/7f5KF2qF4f","","","","https://youtu.be/Q1cZPsqZlaI"
"814833430315888640","","","2016-12-30 14:00:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Liszt - Die drei Zigeuner, S.383 by Friedemann Eichhorn and Rolf-Dieter Arens https://t.co/XS8oSGJRRC","","","","https://youtu.be/l6frAkYPYZU"
"814508790796132356","","","2016-12-29 16:30:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Beethoven - Cello Sonata No.4 in C major Op.102 No.1 by Paul Tortelier and Éric Heidsieck https://t.co/0dYhWk8GCM","","","","https://youtu.be/rRoogaNKMuQ"
"814146395762524160","","","2016-12-28 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Lyapunov - Symphony No.2 in B-flat minor, Op.66 by USSR Symphony Orchestra and Yevgeny Svetlanov https://t.co/hcSWTYWPlx","","","","https://youtu.be/hPjXEt69jfo"
"813784011944275969","","","2016-12-27 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Carl Tausig - Das Geisterschiff, Op.1c by Rian de Waal https://t.co/VGVhl1amD0","","","","https://youtu.be/OtMqavc8mEg"
"813421620555563012","","","2016-12-26 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Suk - Symphony No.1 in E major, Op.14 by BBC Symphony Orchestra and Jiří Bělohlávek https://t.co/oGuHDB4loP","","","","https://youtu.be/VwM28UFt6R8"
"813151366482792448","813151348635992064","3328596200","2016-12-25 22:36:08 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Denis Kozhukhin, Janine Jansen, Boris Brovtsyn, Amihai Grosz, and Julian Steckel","","","",""
"813151348635992064","","","2016-12-25 22:36:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bartók - Piano Quintet in C major, Sz.23 by (cont) https://t.co/C5Xri37Psq","","","","https://youtu.be/QpT0CvuDCQI"
"813059232056496132","","","2016-12-25 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Rachmaninoff - Isle of the Dead, Op.29 by BBC Symphony Orchestra and Yevgeny Svetlanov https://t.co/rsKqMfzkRl","","","","https://youtu.be/MVZWoE3_l4I"
"812946922147151874","","","2016-12-25 09:03:44 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Schumann - Fantasiestücke in A minor, Op.73 by Martha Argerich and Mischa Maisky https://t.co/SGsy3eZvuk","","","","https://youtu.be/lIbEk48Ga30?t=16s"
"812696845193543682","","","2016-12-24 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Scriabin - Symphony No.3 ""Le Divin Poème"", Op.43 by Berliner Philharmoniker and and Dmitri Kitayenko https://t.co/MJc576T8oU","","","","https://youtu.be/a4b1A0CITXE"
"812666643650252801","","","2016-12-24 14:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Schumann - 3 Romances, Op.94 by Joshua Bell and 王羽佳 https://t.co/FtkNFAWkf7 재업","","","","https://youtu.be/bHy1q3cEkKo"
"812630105956577280","","","2016-12-24 12:04:49 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Arnold Bax - Christmas Eve by LPO and Bryden Thomson https://t.co/rfOiW3uIXG","","","","https://youtu.be/gGbUZ_hWTC0"
"812614859590279168","749399785275138048","3328596200","2016-12-24 11:04:14 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mozart - Violin Concerto No.4 in D major, K.218 by Isaac Stern, English Chamber Orchestra, and Alexander Schneider https://t.co/AZjqx0o2N6","","","","https://youtu.be/UIXZo4YZS9I"
"812297431027068928","636540981983051776","3328596200","2016-12-23 14:02:53 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Schubert - 3 Klavierstücke in E-flat minor, D.946 by Sviatoslav Richter https://t.co/88yvYN5x6K Budapest, 1963","","","","https://youtu.be/kEHJuiQh8MA?list=PL5BDD150ED45EA3D8"
"812296706503168004","","","2016-12-23 14:00:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mendelssohn - String Octet in E-flat major, Op.20 by I Musici https://t.co/Tg59s0YZwp","","","","https://youtu.be/OgfeVaK0yeM"
"812296666669682692","","","2016-12-23 13:59:51 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Schumann - String Quartet No.2 in F major, Op.41 No.2 by Cherubini Quartett https://t.co/Cwg9qA3MPt","","","","https://youtu.be/YXVgFd5Z34w"
"812295844191866880","","","2016-12-23 13:56:35 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mendelssohn - Lied ohne Worte in D major, Op.109 by Jacqueline du Pré and Iris du Pré https://t.co/a5WtFBlY1r","","","","https://youtu.be/F7P6YBc9KFA"
"812294749126160385","","","2016-12-23 13:52:14 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mendelssohn - Lieder ohne Worte, Book 2, Op.30 by Frank van de Laar https://t.co/i79dcjXmyj 오타 수정","","","","https://youtu.be/wR3t6vJOMe0?list=PLHbJf2zCdzRf_5BlLFpy1GYFyzgvdaN1Z"
"812291676702052352","","","2016-12-23 13:40:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Händel - Suite No.5 in E major, HWV 430 by Alicia de Larrocha https://t.co/5NlgQ96TMF","","","","https://youtu.be/OjeFYoXf_WY"
"812286339072671744","812286310857641984","3328596200","2016-12-23 13:18:49 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Cyprien Katsaris, Orchestre de Chambre du Festival d'Echternach, and 이윤국","","","",""
"812286310857641984","","","2016-12-23 13:18:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bach - Keyboard Concerto No.4 in A major, BWV 1055 by (cont) https://t.co/2nHgDMlBc3","","","","https://youtu.be/g3-bhBHjtV8"
